name;grade;stars;address;gps;link
Lennon Hotel;7,7;2.0;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/lennon-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=1&hapos=1&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=807528701_342209978_2_2_0%2C807528701_342209978_2_2_0&highlighted_blocks=807528701_342209978_2_2_0%2C807528701_342209978_2_2_0&matching_block_id=807528701_342209978_2_2_0&sr_pri_blocks=807528701_342209978_2_2_0__11226%2C807528701_342209978_2_2_0__11226&from=searchresults#hotelTmpl
Hotel Korner Eiffel;8,6;2.0;15e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/idealhotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=2&hapos=2&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=5043303_264990422_2_2_0%2C5043302_264990422_2_2_0&highlighted_blocks=5043303_264990422_2_2_0%2C5043302_264990422_2_2_0&matching_block_id=5043303_264990422_2_2_0&sr_pri_blocks=5043303_264990422_2_2_0__18706%2C5043302_264990422_2_2_0__18706&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
B&B Hôtel Paris 17 Batignolles;8,1;3.0;17e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/parisboulevardberthier.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=3&hapos=3&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=5120702_332951153_0_0_0%2C5120702_332951153_0_0_0&highlighted_blocks=5120702_332951153_0_0_0%2C5120702_332951153_0_0_0&matching_block_id=5120702_332951153_0_0_0&sr_pri_blocks=5120702_332951153_0_0_0__14276%2C5120702_332951153_0_0_0__14276&from=searchresults#hotelTmpl
La Belle Ville;9,0;;19e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/la-belle-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=4&hapos=4&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=817582902_344316804_2_2_0%2C817582902_344316804_2_2_0&highlighted_blocks=817582902_344316804_2_2_0%2C817582902_344316804_2_2_0&matching_block_id=817582902_344316804_2_2_0&sr_pri_blocks=817582902_344316804_2_2_0__15476%2C817582902_344316804_2_2_0__15476&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Moris Grands Boulevards;8,6;3.0;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/moris-grands-boulevards.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=5&hapos=5&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=4848603_184337829_0_2_0%2C4848603_184337829_0_2_0&highlighted_blocks=4848603_184337829_0_2_0%2C4848603_184337829_0_2_0&matching_block_id=4848603_184337829_0_2_0&sr_pri_blocks=4848603_184337829_0_2_0__17376%2C4848603_184337829_0_2_0__17376&from=searchresults#hotelTmpl
Le Village Montmartre by Hiphophostels;8,2;;18e arr., Paris;[48.8870221, 2.3478318];https://www.booking.com/hotel/fr/le-village-boutique-hostel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=6&hapos=6&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=77706904_341387776_0_2_0%2C77706906_341387776_0_2_0&highlighted_blocks=77706904_341387776_0_2_0%2C77706906_341387776_0_2_0&matching_block_id=77706904_341387776_0_2_0&sr_pri_blocks=77706904_341387776_0_2_0__4600%2C77706906_341387776_0_2_0__20300&from=searchresults#hotelTmpl
Hôtel Vivienne;8,2;;2e arr., Paris;[6.15466, 1.2391666];https://www.booking.com/hotel/fr/vivienne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=7&hapos=7&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=25848604_242690766_2_2_0%2C25848607_242690766_2_2_0&highlighted_blocks=25848604_242690766_2_2_0%2C25848607_242690766_2_2_0&matching_block_id=25848604_242690766_2_2_0&sr_pri_blocks=25848604_242690766_2_2_0__14000%2C25848607_242690766_2_2_0__17000&from=searchresults#hotelTmpl
Angleterre Hotel;7,5;1.0;18e arr., Paris;[48.8870221, 2.3478318];https://www.booking.com/hotel/fr/angleterre-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=8&hapos=8&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=27035502_341380441_2_2_0%2C27035502_341380441_2_2_0&highlighted_blocks=27035502_341380441_2_2_0%2C27035502_341380441_2_2_0&matching_block_id=27035502_341380441_2_2_0&sr_pri_blocks=27035502_341380441_2_2_0__6704%2C27035502_341380441_2_2_0__6704&from=searchresults#hotelTmpl
"Hotel Apolonia Paris Montmartre; Sure Hotel Collection by Best Western";8,2;3.0;18e arr., Paris;[48.8870221, 2.3478318];https://www.booking.com/hotel/fr/comfort-hotel-lamarck-caulaincourt.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=9&hapos=9&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=22105815_296013234_2_2_0%2C22105812_296013234_2_2_0&highlighted_blocks=22105815_296013234_2_2_0%2C22105812_296013234_2_2_0&matching_block_id=22105815_296013234_2_2_0&sr_pri_blocks=22105815_296013234_2_2_0__12191%2C22105812_296013234_2_2_0__12191&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel de Flore;8,8;3.0;18e arr., Paris;[48.8870221, 2.3478318];https://www.booking.com/hotel/fr/de-flore-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=198eae91e00ff8987000392e5bd39175&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=10&hapos=10&sr_order=popularity&srpvid=c9c2998cb9da0036&srepoch=1648504218&all_sr_blocks=42824405_326720343_0_2_0%2C42824405_326720343_0_2_0&highlighted_blocks=42824405_326720343_0_2_0%2C42824405_326720343_0_2_0&matching_block_id=42824405_326720343_0_2_0&sr_pri_blocks=42824405_326720343_0_2_0__14776%2C42824405_326720343_0_2_0__14776&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
